Name, Status
Benjamin (DER AN867),0
BraveHeart (DER AP926),1
C64W,0
C666,0
C703,0
C708,0
C70V,0
C711,0
C7VH,0
C7W0,0
C7X7,1
C8WN,0
CAMF,0
Cherry (DER AN859),0
Coco (DER AN862),0
DER AP801,0
DER AP802,0
DER AP803,0
DER AP804,0
DER AP805,0
DER AP806,0
DER AP807,0
DER AP808,0
DER AP809,1
DER AP921,0
DER AP922,1
DER AP923,0
DER AP924,0
DER AP925,0
DER AP927,0
DER AR436,0
DER AR437,0
DER AR438,0
DER AR439,0
DER AR440,1
DER AR441,0
DER AR442,0
DER AR444,1
DER AR445,1
DER AR446,1
Dilya,1
Dimitris (GRA51162),0
Eamy (DER AL585),1
Grigori,0
Halim,0
Hercules (GRA51167),0
Kakau (DER AN864),1
Karamell (DER AL582),1
Lina (GRA51160),0
Mansur,0
Nenni (GRA51165),0
Pelopidas (GRA51164),0
Petros (GRA51163),0
PLG 5P305,0
PLG 5P307,0
PLG 5P311,1
PLG 5P312,1
Sayyid,1
Shahlo,1
Sierit (DER AN858),1
Silvia (GRA51159),1
Sophokles (GRA51157),0
Spithas (GRA51158),0
Swag (DER AL583),0
Vasilia (GRA51161),0
Willi (DER AN863),0
Yolo (DER AN861),1
ZAC 9A69901,0
Zozu (DER AL581),1